round,accuracy,precision,recall,F1score
1,0.8330696203,0.6930946292,0.7486187845,0.7197875166
2,0.8528481013,0.8165467626,0.6270718232,0.709375
3,0.8734177215,0.7700534759,0.7955801105,0.7826086957
4,0.8710443038,0.8099688474,0.7182320442,0.7613469985
5,0.8837025316,0.7851458886,0.817679558,0.801082544
6,0.8876582278,0.8216374269,0.7762430939,0.7982954545
7,0.8860759494,0.7838541667,0.8314917127,0.8069705094
8,0.8852848101,0.8005540166,0.7983425414,0.7994467497
9,0.8884493671,0.787012987,0.8370165746,0.8112449799
10,0.8876582278,0.8055555556,0.8011049724,0.8033240997
11,0.8852848101,0.7862796834,0.8232044199,0.8043184885
12,0.8884493671,0.8060941828,0.8038674033,0.8049792531
13,0.8868670886,0.7874015748,0.8287292818,0.8075370121
14,0.8916139241,0.811634349,0.8093922652,0.8105117566
15,0.8924050633,0.7958115183,0.8397790055,0.8172043011
16,0.8931962025,0.8109589041,0.817679558,0.8143053645
17,0.8939873418,0.7953367876,0.8480662983,0.820855615
18,0.8939873418,0.8097826087,0.8232044199,0.8164383562
19,0.894778481,0.7989556136,0.8453038674,0.8214765101
20,0.894778481,0.8086253369,0.8287292818,0.8185538881
21,0.894778481,0.8005249344,0.8425414365,0.8209959623
22,0.8963607595,0.8096514745,0.8342541436,0.8217687075
23,0.8963607595,0.8031496063,0.8453038674,0.8236877524
24,0.894778481,0.8053333333,0.8342541436,0.8195386703
25,0.897943038,0.8041775457,0.8508287293,0.8268456376
26,0.8971518987,0.8101604278,0.8370165746,0.8233695652
27,0.897943038,0.8025974026,0.8535911602,0.8273092369
28,0.8995253165,0.8150134048,0.8397790055,0.8272108844
29,0.8987341772,0.8078947368,0.8480662983,0.8274932615
30,0.9011075949,0.8194070081,0.8397790055,0.82946794
31,0.9026898734,0.813648294,0.8563535912,0.8344549125
32,0.9003164557,0.8189189189,0.8370165746,0.8278688525
33,0.8995253165,0.8083989501,0.8508287293,0.8290713324
34,0.9034810127,0.8260869565,0.8397790055,0.8328767123
35,0.9034810127,0.8191489362,0.8508287293,0.8346883469
36,0.9034810127,0.8225806452,0.8453038674,0.8337874659
37,0.9003164557,0.8105263158,0.8508287293,0.8301886792
38,0.9018987342,0.8198924731,0.8425414365,0.8310626703
39,0.9034810127,0.8191489362,0.8508287293,0.8346883469
40,0.9034810127,0.820855615,0.8480662983,0.8342391304
41,0.9003164557,0.8089005236,0.8535911602,0.8306451613
42,0.9026898734,0.8169761273,0.8508287293,0.8335588633
43,0.8995253165,0.8067885117,0.8535911602,0.8295302013
44,0.9042721519,0.8196286472,0.8535911602,0.8362652233
45,0.9026898734,0.813648294,0.8563535912,0.8344549125
46,0.9058544304,0.824,0.8535911602,0.8385345997
47,0.9034810127,0.8125,0.861878453,0.836461126
48,0.9026898734,0.8186666667,0.8480662983,0.8331071913
49,0.9042721519,0.8162729659,0.8591160221,0.8371467026
50,0.9034810127,0.8191489362,0.8508287293,0.8346883469
