round,accuracy,precision,recall,F1score
1,0.8003144654,0.6211340206,0.6925287356,0.6548913043
2,0.8301886792,0.7869565217,0.5201149425,0.6262975779
3,0.8380503145,0.7088235294,0.6925287356,0.7005813953
4,0.8577044025,0.8081180812,0.6293103448,0.7075928918
5,0.8592767296,0.7507418398,0.7270114943,0.7386861314
6,0.8639937107,0.7986348123,0.6724137931,0.7301092044
7,0.855345912,0.745508982,0.7155172414,0.7302052786
8,0.8647798742,0.7972972973,0.6781609195,0.7329192547
9,0.858490566,0.7470588235,0.7298850575,0.738372093
10,0.8639937107,0.7868852459,0.6896551724,0.7350689127
11,0.8624213836,0.7613293051,0.724137931,0.7422680412
12,0.8663522013,0.7947019868,0.6896551724,0.7384615385
13,0.8632075472,0.7701863354,0.7126436782,0.7402985075
14,0.8671383648,0.8013468013,0.683908046,0.7379844961
15,0.8647798742,0.7767295597,0.7097701149,0.7417417417
16,0.8639937107,0.7906976744,0.683908046,0.7334360555
17,0.8632075472,0.7735849057,0.7068965517,0.7387387387
18,0.8663522013,0.7927631579,0.6925287356,0.7392638037
19,0.8600628931,0.7672955975,0.7011494253,0.7327327327
20,0.8608490566,0.7803278689,0.683908046,0.7289433384
21,0.8639937107,0.7725856698,0.7126436782,0.7414050822
22,0.8616352201,0.7810457516,0.6867816092,0.7308868502
23,0.8616352201,0.7721518987,0.7011494253,0.734939759
24,0.8663522013,0.7947019868,0.6896551724,0.7384615385
25,0.8671383648,0.7877813505,0.7040229885,0.7435508346
26,0.8702830189,0.803986711,0.6954022989,0.7457627119
27,0.8694968553,0.7935483871,0.7068965517,0.7477203647
28,0.8718553459,0.8032786885,0.7040229885,0.7503828484
29,0.8718553459,0.7917981073,0.7212643678,0.754887218
30,0.8687106918,0.7928802589,0.7040229885,0.7458143075
31,0.8687106918,0.7836990596,0.7183908046,0.7496251874
32,0.8679245283,0.7941176471,0.6982758621,0.7431192661
33,0.8679245283,0.78125,0.7183908046,0.748502994
34,0.8671383648,0.7896440129,0.7011494253,0.7427701674
35,0.8687106918,0.7836990596,0.7183908046,0.7496251874
36,0.8632075472,0.7824675325,0.6925287356,0.7347560976
37,0.8671383648,0.7805642633,0.7155172414,0.7466266867
38,0.8663522013,0.7870967742,0.7011494253,0.7416413374
39,0.8679245283,0.7795031056,0.7212643678,0.7492537313
40,0.8702830189,0.7980456026,0.7040229885,0.7480916031
41,0.8710691824,0.7929936306,0.7155172414,0.752265861
42,0.8702830189,0.7980456026,0.7040229885,0.7480916031
43,0.8702830189,0.7923322684,0.7126436782,0.7503782148
44,0.8718553459,0.7993527508,0.7097701149,0.7519025875
45,0.8710691824,0.7929936306,0.7155172414,0.752265861
46,0.8757861635,0.8104575163,0.7126436782,0.7584097859
47,0.8742138365,0.7993630573,0.7212643678,0.7583081571
48,0.876572327,0.8110749186,0.7155172414,0.7603053435
49,0.8781446541,0.8083067093,0.7270114943,0.7655068079
50,0.8797169811,0.8196721311,0.7183908046,0.7656967841
