round,accuracy,precision,recall,F1score
1,0.8065547562,0.6580796253,0.7453580902,0.6990049751
2,0.82813749,0.7736486486,0.6074270557,0.6805349183
3,0.8521183054,0.7307692308,0.8063660477,0.7667087011
4,0.8617106315,0.7897727273,0.7374005305,0.7626886145
5,0.8585131894,0.7392344498,0.8196286472,0.7773584906
6,0.8673061551,0.7813333333,0.7771883289,0.7792553191
7,0.8673061551,0.7542168675,0.8302387268,0.7904040404
8,0.860911271,0.7595907928,0.7877984085,0.7734375
9,0.8617106315,0.7451923077,0.8222811671,0.7818411097
10,0.8697042366,0.7786458333,0.7931034483,0.7858081472
11,0.8705035971,0.7628361858,0.8275862069,0.7938931298
12,0.8681055156,0.769035533,0.8037135279,0.7859922179
13,0.8737010392,0.7625899281,0.8435013263,0.8010075567
14,0.8752997602,0.7769423559,0.8222811671,0.7989690722
15,0.8768984812,0.7712895377,0.8408488064,0.8045685279
16,0.8760991207,0.7803030303,0.8196286472,0.7994825356
17,0.8737010392,0.7638554217,0.8408488064,0.8005050505
18,0.8768984812,0.7808564232,0.8222811671,0.8010335917
19,0.8752997602,0.7662650602,0.8435013263,0.803030303
20,0.8784972022,0.7805486284,0.8302387268,0.8046272494
21,0.8737010392,0.7651331719,0.8381962865,0.8
22,0.8768984812,0.776674938,0.8302387268,0.8025641026
23,0.8729016787,0.7620192308,0.8408488064,0.7994955864
24,0.8776978417,0.78,0.8275862069,0.8030888031
25,0.8760991207,0.7720588235,0.8355437666,0.8025477707
26,0.8776978417,0.7814070352,0.824933687,0.8025806452
27,0.8784972022,0.7764127764,0.8381962865,0.806122449
28,0.8784972022,0.7819548872,0.8275862069,0.8041237113
29,0.8776978417,0.7731707317,0.8408488064,0.8055908513
30,0.8792965628,0.7825,0.8302387268,0.8056628057
31,0.8792965628,0.7742718447,0.8461538462,0.8086185044
32,0.8800959233,0.7788697789,0.8408488064,0.8086734694
33,0.8784972022,0.7737226277,0.8435013263,0.807106599
34,0.8800959233,0.7816377171,0.8355437666,0.8076923077
35,0.8768984812,0.7686746988,0.8461538462,0.8055555556
36,0.8792965628,0.783919598,0.8275862069,0.8051612903
37,0.8832933653,0.7810218978,0.8514588859,0.8147208122
38,0.8848920863,0.7905236908,0.8408488064,0.8149100257
39,0.8864908074,0.784503632,0.8594164456,0.8202531646
40,0.8888888889,0.7945544554,0.8514588859,0.8220230474
41,0.8880895284,0.7869249395,0.8620689655,0.8227848101
42,0.8856914468,0.7896039604,0.8461538462,0.8169014085
43,0.8880895284,0.7869249395,0.8620689655,0.8227848101
44,0.8856914468,0.7910447761,0.8435013263,0.8164313222
45,0.8864908074,0.7886977887,0.8514588859,0.818877551
46,0.8824940048,0.7889447236,0.8328912467,0.8103225806
47,0.8816946443,0.7827160494,0.8408488064,0.810741688
48,0.8848920863,0.7905236908,0.8408488064,0.8149100257
49,0.8840927258,0.7843137255,0.848806366,0.8152866242
50,0.8848920863,0.787654321,0.8461538462,0.8158567775
