round,accuracy,precision,recall,F1score
1,0.8517928287,0.6729957806,0.9114285714,0.7742718447
2,0.8501992032,0.6730769231,0.9,0.7701711491
3,0.8494023904,0.6680584551,0.9142857143,0.7720144753
4,0.8486055777,0.6673640167,0.9114285714,0.770531401
5,0.8470119522,0.6645833333,0.9114285714,0.7686746988
6,0.8462151394,0.6638830898,0.9085714286,0.7671893848
7,0.8462151394,0.6632016632,0.9114285714,0.7677496992
8,0.8462151394,0.6638830898,0.9085714286,0.7671893848
9,0.8454183267,0.6625,0.9085714286,0.7662650602
10,0.8470119522,0.6652719665,0.9085714286,0.768115942
11,0.8454183267,0.6625,0.9085714286,0.7662650602
12,0.8462151394,0.6638830898,0.9085714286,0.7671893848
13,0.8462151394,0.6638830898,0.9085714286,0.7671893848
14,0.8462151394,0.6638830898,0.9085714286,0.7671893848
15,0.8462151394,0.6638830898,0.9085714286,0.7671893848
16,0.8470119522,0.6652719665,0.9085714286,0.768115942
17,0.8462151394,0.6638830898,0.9085714286,0.7671893848
18,0.8470119522,0.6652719665,0.9085714286,0.768115942
19,0.8462151394,0.6638830898,0.9085714286,0.7671893848
20,0.8470119522,0.6652719665,0.9085714286,0.768115942
